dataset,rpp,dcgrpp,invrpp,ap,ndcg,rr
core (2017),49.91,49.44,40.76,36.54,39.21,14.67
core (2018),52.35,49.22,42.33,35.29,34.66,27.97
deep-docs (2019),42.53,40.83,30.01,33.57,41.11,6.97
deep-docs (2020),18.85,19.35,17.31,17.71,18.06,2.88
deep-pass (2019),42.34,42.19,36.34,30.03,26.73,6.76
deep-pass (2020),45.70,47.34,45.82,30.10,20.87,22.21
web (2009),32.00,33.69,35.02,18.35,31.56,23.23
web (2010),43.75,39.31,28.43,27.82,37.50,18.15
web (2011),45.16,43.36,34.06,31.62,40.61,14.17
web (2012),41.05,36.44,23.49,26.06,32.09,12.77
web (2013),48.42,44.10,22.30,29.02,41.53,5.96
web (2014),48.74,48.28,36.55,44.14,49.89,18.85
robust,63.47,60.52,51.08,52.89,54.53,22.84
ml-1M,94.29,94.29,92.38,88.57,88.57,83.81
libraryThing,96.67,97.14,97.62,95.24,95.71,93.33
beerAdvocate,94.76,94.76,95.71,93.33,94.29,91.90
